Suburb,Address,PropertyType,Bedrooms,Bathrooms,CarSpaces,LandSize_m2,SaleDate,SoldPrice_AUD,SourceURL
Dandenong,"1-4/7 Macpherson Street, Dandenong, Vic 3175",House,8,4,4,896,2025-09-22,"$1,585,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148901752
Dandenong,"22 Hutton Street, Dandenong, Vic 3175",House,4,2,1,632,2025-09-17,"$765,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148974056
Dandenong,"48 Jones Road, Dandenong, Vic 3175",House,3,1,2,952,2025-09-15,"$985,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148606584
Dandenong,"17 Rodwell Street, Dandenong, Vic 3175",House,4,2,4,645,2025-09-09,"$900,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148653888
Dandenong,"12 De Villers Drive, Dandenong, Vic 3175",House,4,2,2,600,2025-09-02,"$955,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148825264
Dandenong,"42 Steven Street, Dandenong, Vic 3175",House,3,2,1,235,2025-09-02,"$670,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148840308
Dandenong,"2 Purdy Avenue, Dandenong, Vic 3175",House,3,1,2,726,2025-08-31,"$828,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147596712
Dandenong,"13 Herbert St, Dandenong, Vic 3175",House,3,1,4,567,2025-08-30,"$713,500.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148631848
Dandenong,"3 Janice Grove, Dandenong, Vic 3175",House,2,1,4,591,2025-08-28,"$690,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148706280
Dandenong,"37 King George Parade, Dandenong, Vic 3175",House,3,1,2,602,2025-08-23,"$750,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148641284
Dandenong,"15 Falkiner Crescent, Dandenong, Vic 3175",House,4,2,2,532,2025-08-18,"$1,000,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148712648
Dandenong,"14 Dedina Walk, Dandenong, Vic 3175",House,3,2,2,366,2025-08-18,"$750,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148580092
Dandenong,"9 Everitt Street, Dandenong, Vic 3175",House,4,2,2,305,2025-07-24,"$786,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147907908
Dandenong,"36 Alexander Avenue, Dandenong, Vic 3175",House,6,2,3,604,2025-08-13,"$820,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148217400
Dandenong,"13 Lexton Avenue, Dandenong, Vic 3175",House,4,1,2,604,2025-08-13,"$703,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148433100
Dandenong,"54 Steven Street, Dandenong, Vic 3175",House,3,2,3,231,2025-08-12,"$715,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148871780
Dandenong,"20 Keating Crescent, Dandenong, Vic 3175",House,3,1,6,530,2025-08-07,"$811,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148467980
Dandenong,"36 Lexton Avenue, Dandenong, Vic 3175",House,4,1,2,806,2025-08-07,"$680,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147291860
Dandenong,"17 Wanke Crescent, Dandenong, Vic 3175",House,3,1,4,654,2025-07-31,"$715,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147573268
Dandenong,"82 Princes Highway, Dandenong, Vic 3175",House,3,1,1,738,2025-07-29,"$850,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148293652
Dandenong,"7 Lockington Crescent, Dandenong, Vic 3175",House,4,2,2,381,2025-07-25,"$805,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148472620
Dandenong,"1/11 Jones Road, Dandenong, Vic 3175",House,3,1,1,471,2025-07-23,"$507,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148421436
Dandenong,"69 King George Parade, Dandenong, Vic 3175",House,3,1,2,682,2025-07-22,"$650,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147077788
Dandenong,"51 Cleeland Street, Dandenong, Vic 3175",House,3,2,2,585,2024-09-07,"$860,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148712648
Dandenong,"4 Shrives Road, Dandenong, Vic 3175",House,3,1,3,578,2024-09-14,"$825,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148580092
Dandenong,"15 Cashmore Road, Dandenong, Vic 3175",House,3,1,2,531,2024-08-20,"$690,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148772000
Dandenong,"20 Boyton Close, Dandenong, Vic 3175",House,4,2,3,544,2024-08-09,"$915,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148217400
Dandenong,"31 Neville Street, Dandenong, Vic 3175",House,3,1,1,528,2024-07-22,"$780,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148433100
Dandenong,"48 Ross Street, Dandenong, Vic 3175",House,4,2,4,646,2024-07-19,"$920,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148871780
Dandenong,"26 De Villiers Drive, Dandenong, Vic 3175",House,4,2,6,619,2025-07-08,"$860,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148300448
Dandenong,"20 Raymond Street, Dandenong, Vic 3175",House,6,4,6,607,2025-07-05,"$1,660,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-147484460
Dandenong,"22 Grace Avenue, Dandenong, Vic 3175",House,3,1,6,811,2025-07-05,"$855,000.00 ",https://www.realestate.com.au/sold/property-house-vic-dandenong-148237336
